host,hop_index,rtt_ms,increment_ms
speedtest1.sox.rs,1,2.474,2.474
speedtest1.sox.rs,2,4.325,1.851
speedtest1.sox.rs,3,0.000,0.000
speedtest1.sox.rs,4,0.000,0.000
speedtest1.sox.rs,5,11.956,7.631
speedtest1.sox.rs,6,10.465,0.000
speedtest1.sox.rs,7,11.907,1.442
speedtest1.sox.rs,8,139.328,127.421
speedtest1.sox.rs,9,139.293,0.000
speedtest1.sox.rs,10,139.269,0.000
138.199.57.129,1,21.433,21.433
138.199.57.129,2,23.495,2.062
138.199.57.129,3,0.000,0.000
138.199.57.129,4,0.000,0.000
138.199.57.129,5,28.553,5.058
138.199.57.129,6,28.530,0.000
138.199.57.129,7,0.000,0.000
138.199.57.129,8,38.498,9.968
138.199.57.129,9,54.578,16.080
138.199.57.129,10,52.340,0.000
23.249.55.42,1,23.066,23.066
23.249.55.42,2,25.560,2.494
23.249.55.42,3,0.000,0.000
23.249.55.42,4,0.000,0.000
23.249.55.42,5,28.572,3.012
23.249.55.42,6,29.335,0.763
23.249.55.42,7,0.000,0.000
23.249.55.42,8,29.287,0.000
23.249.55.42,9,31.649,2.362
23.249.55.42,10,357.481,325.832
23.249.55.42,11,222.796,0.000
23.249.55.42,12,220.151,0.000
96.45.39.38,1,2.613,2.613
96.45.39.38,2,6.322,3.709
96.45.39.38,3,0.000,0.000
96.45.39.38,4,0.000,0.000
96.45.39.38,5,11.444,5.122
96.45.39.38,6,11.619,0.175
96.45.39.38,7,0.000,0.000
96.45.39.38,8,0.000,0.000
96.45.39.38,9,0.000,0.000
96.45.39.38,10,0.000,0.000
96.45.39.38,11,191.246,179.627
96.45.39.38,12,191.227,0.000
96.45.39.38,13,191.210,0.000
speedtest.hiper.dk,1,3.879,3.879
speedtest.hiper.dk,2,5.036,1.157
speedtest.hiper.dk,3,0.000,0.000
speedtest.hiper.dk,4,0.000,0.000
speedtest.hiper.dk,5,11.609,6.573
speedtest.hiper.dk,6,9.984,0.000
speedtest.hiper.dk,7,9.970,0.000
speedtest.hiper.dk,8,26.364,16.394
speedtest.hiper.dk,9,33.010,6.646
speedtest.hiper.dk,10,32.995,0.000
speedtest.hiper.dk,11,120.429,87.434
speedtest.hiper.dk,12,122.981,2.552
speedtest.hiper.dk,13,122.968,0.000
speedtest.hiper.dk,14,0.000,0.000
speedtest.hiper.dk,15,122.940,0.000
